cargo_type,current_temp,safe_temp,max_temp_threshold,flight_duration_hours,flight_delay_minutes,viability_percentage
Solid Organs,4.86,5,8,8.88,266,76.84
Solid Organs,7.31,5,8,9.07,566,64.26
Solid Organs,6.76,5,8,6.88,307,75.97
Solid Organs,9.21,5,8,3.66,559,69.9
Solid Organs,9.54,5,8,2.36,1146,54.49
Solid Organs,8.13,5,8,9.09,525,63.52
Solid Organs,4.45,5,8,4.28,1044,66.0
Solid Organs,5.47,5,8,11.44,1397,48.65
Solid Organs,10.44,5,8,2.81,922,57.67
Solid Organs,6.08,5,8,3.9,163,86.59
Solid Organs,11.35,5,8,7.82,1115,42.49
Solid Organs,10.08,5,8,4.32,1338,45.63
Solid Organs,7.22,5,8,10.94,645,59.76
Solid Organs,10.18,5,8,4.66,503,67.89
Solid Organs,7.99,5,8,4.37,922,60.85
Solid Organs,5.03,5,8,8.21,191,79.59
Solid Organs,10.62,5,8,7.19,575,59.77
Solid Organs,4.04,5,8,4.94,648,74.66
Solid Organs,9.41,5,8,9.19,1294,42.25
Solid Organs,4.28,5,8,6.21,811,68.87
Solid Organs,10.24,5,8,4.84,234,77.06
Solid Organs,9.06,5,8,6.59,847,56.83
Solid Organs,5.52,5,8,5.33,976,63.78
Solid Organs,4.86,5,8,10.55,1058,57.27
Solid Organs,9.89,5,8,7.5,71,77.7
Solid Organs,8.37,5,8,10.5,983,49.84
Solid Organs,8.09,5,8,4.93,1141,54.49
Solid Organs,10.54,5,8,8.12,1293,40.46
Solid Organs,8.72,5,8,10.72,1344,41.45
Solid Organs,3.08,5,8,3.07,363,85.46
Solid Organs,3.12,5,8,2.25,416,85.33
Solid Organs,8.52,5,8,3.69,1408,49.08
Solid Organs,6.05,5,8,4.66,840,66.72
Solid Organs,5.77,5,8,9.83,640,64.71
Solid Organs,4.02,5,8,10.53,504,70.41
Solid Organs,6.15,5,8,2.84,702,72.77
Solid Organs,3.16,5,8,3.91,809,74.0
Solid Organs,3.63,5,8,11.31,438,71.59
Solid Organs,3.06,5,8,3.75,1318,64.28
Solid Organs,8.45,5,8,7.55,1289,46.93
Solid Organs,8.98,5,8,2.45,277,82.56
Solid Organs,5.7,5,8,6.34,353,77.26
Solid Organs,8.39,5,8,9.99,936,51.48
Solid Organs,8.17,5,8,8.02,165,75.97
Solid Organs,6.24,5,8,2.6,139,89.74
Solid Organs,11.03,5,8,4.75,1140,47.15
Solid Organs,6.26,5,8,7.73,300,75.54
Solid Organs,9.92,5,8,3.58,10,89.65
Solid Organs,11.14,5,8,6.04,276,71.22
Solid Organs,8.99,5,8,7.56,1051,50.61
Solid Organs,9.83,5,8,8.2,416,64.55
Solid Organs,10.95,5,8,9.37,346,62.1
Solid Organs,5.7,5,8,9.78,4,81.23
Solid Organs,10.95,5,8,6.28,1299,41.55
Solid Organs,6.83,5,8,5.58,113,84.2
Solid Organs,11.51,5,8,7.23,198,70.8
Solid Organs,10.86,5,8,5.81,1,83.35
Solid Organs,11.89,5,8,4.06,916,52.12
Solid Organs,4.44,5,8,6.09,652,72.28
Solid Organs,6.68,5,8,7.63,841,61.09
Solid Organs,7.58,5,8,3.14,949,62.98
Solid Organs,7.51,5,8,2.52,646,72.43
Solid Organs,5.71,5,8,8.6,1044,57.73
Solid Organs,6.39,5,8,6.01,1067,58.86
Solid Organs,5.1,5,8,6.81,519,73.23
Solid Organs,4.04,5,8,8.71,674,69.08
Solid Organs,7.01,5,8,9.83,355,69.23
Solid Organs,5.49,5,8,11.25,5,79.02
Solid Organs,4.13,5,8,11.42,1371,52.71
Solid Organs,4.52,5,8,11.41,443,69.62
Solid Organs,10.64,5,8,9.2,598,55.47
Solid Organs,5.62,5,8,10.24,368,70.91
Solid Organs,9.0,5,8,2.79,950,60.3
Solid Organs,4.05,5,8,9.7,1125,58.97
Solid Organs,9.69,5,8,11.03,900,47.45
Solid Organs,8.95,5,8,11.74,1313,40.25
Solid Organs,4.3,5,8,9.94,1175,57.18
Solid Organs,6.57,5,8,11.71,1414,45.09
Solid Organs,3.41,5,8,11.62,1184,57.48
Solid Organs,6.59,5,8,11.1,260,70.53
Solid Organs,9.91,5,8,3.06,548,70.11
Solid Organs,10.42,5,8,6.57,728,56.81
Solid Organs,9.58,5,8,7.33,559,62.34
Solid Organs,9.99,5,8,9.59,881,49.14
Solid Organs,3.68,5,8,8.07,682,70.42
Solid Organs,5.94,5,8,3.75,873,67.46
Solid Organs,5.97,5,8,11.47,545,64.21
Solid Organs,4.79,5,8,7.47,1081,60.57
Solid Organs,9.14,5,8,8.94,1286,43.42
Solid Organs,6.52,5,8,11.72,67,74.93
Solid Organs,3.29,5,8,3.14,870,73.44
Solid Organs,4.58,5,8,8.7,377,74.83
Solid Organs,10.08,5,8,10.17,564,56.17
Solid Organs,6.34,5,8,9.72,858,58.69
Solid Organs,5.11,5,8,4.87,670,72.36
Solid Organs,11.94,5,8,6.7,1001,45.3
Solid Organs,3.08,5,8,10.16,333,76.31
Solid Organs,4.21,5,8,11.89,1101,56.63
Solid Organs,8.12,5,8,5.31,827,61.54
Solid Organs,6.14,5,8,3.2,460,78.88
Solid Organs,8.39,5,8,11.59,1200,44.05
Solid Organs,3.78,5,8,2.4,1330,63.99
Solid Organs,6.83,5,8,7.97,1346,49.63
Solid Organs,6.14,5,8,7.06,664,67.3
Solid Organs,4.05,5,8,4.65,410,80.79
Solid Organs,8.22,5,8,5.68,356,74.28
Solid Organs,6.86,5,8,11.69,483,63.4
Solid Organs,10.72,5,8,6.14,705,57.51
Solid Organs,8.66,5,8,8.9,668,58.83
Solid Organs,7.7,5,8,7.17,723,62.31
Solid Organs,6.25,5,8,9.57,395,70.06
Solid Organs,6.8,5,8,6.06,214,80.16
Solid Organs,6.03,5,8,11.3,560,63.95
Solid Organs,5.53,5,8,10.92,676,62.99
Solid Organs,7.02,5,8,6.12,67,84.44
Solid Organs,3.5,5,8,8.44,865,66.6
Solid Organs,9.05,5,8,7.51,1177,47.71
Solid Organs,9.27,5,8,7.97,1304,43.89
Solid Organs,11.25,5,8,2.18,450,73.23
Solid Organs,6.16,5,8,9.94,1414,48.06
Solid Organs,9.31,5,8,8.88,631,58.29
Solid Organs,8.74,5,8,8.18,1264,45.87
Solid Organs,10.82,5,8,10.42,1236,38.05
Solid Organs,10.35,5,8,9.34,1158,42.26
Solid Organs,8.3,5,8,5.99,1074,54.02
Solid Organs,9.74,5,8,5.54,76,82.24
Solid Organs,4.45,5,8,11.13,778,63.03
Solid Organs,8.38,5,8,7.04,255,74.63
Solid Organs,6.77,5,8,7.08,1344,50.87
Solid Organs,11.7,5,8,7.11,163,72.14
Solid Organs,4.53,5,8,11.97,1297,52.32
Solid Organs,5.98,5,8,4.52,85,87.97
Solid Organs,6.74,5,8,6.15,1285,53.21
Solid Organs,10.06,5,8,6.58,380,68.38
Solid Organs,3.15,5,8,10.33,1364,56.43
Solid Organs,7.02,5,8,11.32,1389,44.66
Solid Organs,8.23,5,8,8.57,721,58.99
Solid Organs,11.67,5,8,2.73,1121,49.13
Solid Organs,7.46,5,8,9.4,660,61.08
Solid Organs,9.96,5,8,2.51,562,70.68
Solid Organs,8.6,5,8,8.78,16,78.78
Solid Organs,4.28,5,8,10.35,879,62.33
Solid Organs,3.94,5,8,8.45,115,82.62
Solid Organs,4.85,5,8,10.87,1375,51.28
Solid Organs,10.27,5,8,2.63,822,61.39
Solid Organs,7.59,5,8,8.48,755,59.8
Solid Organs,6.09,5,8,5.52,1203,57.32
Solid Organs,9.77,5,8,2.29,274,82.07
Solid Organs,5.13,5,8,2.82,609,76.94
Solid Organs,7.64,5,8,7.04,916,57.88
Solid Organs,11.76,5,8,10.39,1220,35.84
Solid Organs,10.89,5,8,2.55,861,58.91
Solid Organs,5.89,5,8,5.86,961,62.58
Solid Organs,8.01,5,8,7.33,1215,49.9
Solid Organs,3.42,5,8,2.88,254,88.18
Solid Organs,6.52,5,8,11.54,701,59.31
Solid Organs,3.93,5,8,2.95,410,83.53
Solid Organs,5.56,5,8,5.45,404,77.52
Solid Organs,5.12,5,8,3.38,1131,63.85
Solid Organs,5.65,5,8,8.9,1080,56.78
Solid Organs,11.66,5,8,2.53,67,88.61
Solid Organs,9.87,5,8,8.6,613,57.93
Solid Organs,9.37,5,8,6.41,865,55.89
Solid Organs,4.3,5,8,6.18,991,65.05
Solid Organs,9.32,5,8,9.83,531,59.44
Solid Organs,11.26,5,8,2.32,201,83.31
Solid Organs,4.32,5,8,10.61,1394,52.62
Solid Organs,10.78,5,8,9.73,420,59.46
Solid Organs,7.83,5,8,6.61,892,58.63
Solid Organs,10.77,5,8,10.5,653,51.5
Solid Organs,9.07,5,8,10.38,280,66.29
Solid Organs,3.98,5,8,10.62,1394,53.51
Solid Organs,4.7,5,8,11.17,401,70.56
Solid Organs,4.13,5,8,7.48,31,86.12
Solid Organs,3.3,5,8,4.72,227,86.17
Solid Organs,5.83,5,8,10.98,1259,50.57
Solid Organs,9.45,5,8,11.88,995,44.94
Solid Organs,6.93,5,8,3.29,1133,59.76
Solid Organs,11.71,5,8,11.49,322,57.06
Solid Organs,11.33,5,8,3.55,47,86.91
Solid Organs,4.1,5,8,10.21,984,60.89
Solid Organs,3.1,5,8,6.46,569,75.97
Solid Organs,5.09,5,8,4.97,903,66.82
Solid Organs,7.16,5,8,10.24,1259,47.81
Solid Organs,4.75,5,8,4.99,1016,65.04
Solid Organs,7.01,5,8,4.23,375,78.3
Solid Organs,6.34,5,8,5.58,806,65.6
Solid Organs,11.28,5,8,9.08,230,65.93
Solid Organs,10.11,5,8,8.7,707,54.59
Solid Organs,3.5,5,8,10.83,200,77.72
Solid Organs,10.5,5,8,10.41,841,47.58
Solid Organs,7.77,5,8,5.59,230,79.18
Solid Organs,4.06,5,8,5.12,598,75.54
Solid Organs,9.63,5,8,8.6,578,59.47
Solid Organs,11.46,5,8,8.87,250,65.32
Solid Organs,6.34,5,8,9.71,1128,53.13
Solid Organs,6.89,5,8,10.8,1163,49.74
Solid Organs,11.01,5,8,4.9,971,51.36
Solid Organs,4.1,5,8,9.48,988,61.65
Solid Organs,4.28,5,8,4.43,45,90.67
Solid Organs,11.64,5,8,10.13,1334,34.26
Solid Organs,5.28,5,8,10.83,1281,51.81
Solid Organs,7.22,5,8,2.37,1392,54.52
Solid Organs,7.66,5,8,8.44,331,70.99
Solid Organs,11.02,5,8,9.06,558,55.95
Solid Organs,11.25,5,8,6.74,921,49.14
Solid Organs,4.72,5,8,4.87,299,82.46
Solid Organs,5.07,5,8,3.14,915,69.09
Solid Organs,5.04,5,8,2.45,44,93.82
Solid Organs,9.16,5,8,2.82,770,65.02
Solid Organs,8.23,5,8,11.82,511,59.37
Solid Organs,4.69,5,8,3.15,25,93.27
Solid Organs,11.96,5,8,2.73,1027,51.04
Solid Organs,11.83,5,8,6.82,1173,41.25
Solid Organs,8.02,5,8,10.39,511,62.07
Solid Organs,5.0,5,8,9.1,632,67.52
Solid Organs,5.6,5,8,9.44,846,61.07
Solid Organs,9.52,5,8,5.08,35,85.2
Solid Organs,9.12,5,8,8.23,753,56.57
Solid Organs,10.75,5,8,2.02,250,82.57
Solid Organs,3.87,5,8,6.28,1431,57.6
Solid Organs,3.52,5,8,9.17,606,70.93
Solid Organs,4.97,5,8,3.57,831,70.64
Solid Organs,4.52,5,8,2.87,176,89.42
Solid Organs,11.95,5,8,3.59,1010,50.07
Solid Organs,9.05,5,8,8.38,618,60.08
Solid Organs,9.75,5,8,8.46,749,54.77
Solid Organs,8.14,5,8,3.37,551,72.65
Solid Organs,8.4,5,8,5.01,314,76.63
Solid Organs,7.93,5,8,3.09,966,61.84
